window,shots,total_xG,mean_xG,median_xG,std_xG,shots_per_game,xG_per_game,window_minutes,shots_per_game_per_window_minute,xG_per_game_per_window_minute,n_games,season,window_label,midpoint_s,idx_shots_per_game_per_window_minute,idx_mean_xG,idx_xG_per_game_per_window_minute
0,11462,707.69344926,0.06174257976443901,0.0312133,0.08622934539849517,1.9020909392631928,0.1174400015366744,5.0,0.3804181878526386,0.02348800030733488,6026,2014-15 through 2023-24,0–5 min,150.0,1.0,1.0,1.0
1,11714,732.26672208,0.06251209852142735,0.031669,0.08778820258724451,1.9439097245270494,0.12151787621639562,5.0,0.38878194490540985,0.024303575243279123,6026,2014-15 through 2023-24,5–10 min,450.0,1.0219856918513346,1.01246333988512,1.0347230468866075
2,11304,717.78139312,0.06349800009907997,0.0324648,0.0903612104485217,1.875871224692997,0.11911407121141719,5.0,0.3751742449385994,0.023822814242283438,6026,2014-15 through 2023-24,10–15 min,750.0,0.9862153201884487,1.0284312761361487,1.014254680286427
3,8614,694.44023281,0.08061762628395636,0.043691350000000004,0.10942096470933971,1.4294722867573846,0.11524066259707932,3.5,0.40842065335925276,0.03292590359916552,6026,2014-15 through 2023-24,15–18:30 min,1005.0,1.073609691651918,1.3057055048805806,1.4018180844830521
