season,n_shots,n_distance,mean_distance,median_distance,close_shot_pct,midrange_shot_pct,far_shot_pct,mean_xGoal,goalie_absent_shots,goalie_pull_shot_pct
2014-15,3886,3886,34.925190285272166,35.2278299076,26.81420483787957,14.513638703036541,58.672156459083894,0.06374268875707668,305,7.848687596500257
2015-16,4705,4705,35.08265384367428,35.5105618091,26.461211477151963,14.601487778958555,58.93730074388947,0.06256739635494155,410,8.71413390010627
2016-17,3921,3921,35.206216129104625,35.1710107901,26.19229788319306,15.888803876562102,57.91889824024483,0.06474971111196123,266,6.783983677633257
2017-18,4705,4705,35.02442806111426,34.7131099154,26.05738575982997,15.664187035069075,58.27842720510096,0.06289594470775771,369,7.842720510095643
2018-19,4599,4599,34.90082132918955,34.0587727319,28.049575994781474,15.242444009567297,56.70797999565123,0.06703968276146989,409,8.893237660360947
2019-20,3979,3979,35.3798592011756,34.7131099154,26.86604674541342,15.682332244282481,57.4516210103041,0.06267180692636341,351,8.821311887408896
2020-21,3051,3051,35.39894985954764,35.3553390593,26.58144870534251,14.913143231727302,58.50540806293019,0.06180510891838742,303,9.93117010816126
2021-22,4406,4406,34.455354312182465,33.4215499341,27.802995914661828,16.04630049931911,56.15070358601907,0.06850721010667271,528,11.983658647299137
2022-23,4682,4682,33.25799407399,32.4191154803,30.28620247757369,15.634344297308841,54.07945322511747,0.07222368432934644,450,9.611277231952156
2023-24,5160,5160,33.39909766735043,32.2024843762,31.95736434108527,14.496124031007751,53.54651162790698,0.07248856704263566,631,12.228682170542635
