window,early_distance_ft,recent_distance_ft,difference_lo,difference_hi
0–5 min,35.435806594288785,33.21987418342846,-3.1147777071353975,-1.343100427609097
5–10 min,34.952299272422934,33.51525894091097,-2.292762494828028,-0.5593515194078391
10–15 min,34.945219098433924,33.56755998434017,-2.30785972965604,-0.44220706641179
15–18:30 min,34.69277371940826,32.91798997805818,-2.90909369124587,-0.6727479170731983
