season,n_shots,goalie_absent_shots,goalie_pull_shot_pct
2014-15,3886,305,7.848687596500257
2015-16,4705,410,8.71413390010627
2016-17,3921,266,6.783983677633257
2017-18,4705,369,7.842720510095643
2018-19,4599,409,8.893237660360947
2019-20,3979,351,8.821311887408896
2020-21,3051,303,9.93117010816126
2021-22,4406,528,11.983658647299137
2022-23,4682,450,9.611277231952156
2023-24,5160,631,12.228682170542635
