era,season,shots,games,mean_xGoal
early,2014-15,3886,575,0.06374268875707668
early,2015-16,4705,623,0.06256739635494155
early,2016-17,3921,591,0.06474971111196123
early,2017-18,4705,621,0.06289594470775771
early,2018-19,4599,626,0.06703968276146989
early,2019-20,3979,566,0.06267180692636341
early,2020-21,3051,450,0.06180510891838741
early,2021-22,4406,638,0.06850721010667271
recent,2022-23,4682,665,0.07222368432934644
recent,2023-24,5160,671,0.07248856704263566
validate,2024-25,4909,692,0.07220240554084334
