window,shots,total_xG,mean_xG,median_xG,std_xG,shots_per_game,xG_per_game,n_games,season,window_label,midpoint_s,idx_shots_per_game,idx_mean_xG,idx_xG_per_game
0,1316,83.1665,0.0632,0.0302,0.0849,1.9613,0.1239,671,2022-23,0–5 min,150,1.0000,1.0000,1.0000
1,1380,94.7219,0.0686,0.0321,0.0991,2.0566,0.1412,671,2022-23,5–10 min,450,1.0486,1.0861,1.1389
2,1381,88.3483,0.0640,0.0298,0.0949,2.0581,0.1317,671,2022-23,10–15 min,750,1.0494,1.0123,1.0623
3,1083,107.8043,0.0995,0.0478,0.1314,1.6140,0.1607,671,2022-23,15–20 min,1050,0.8229,1.5751,1.2962
0,1254,85.0786,0.0678,0.0312,0.0921,1.8121,0.1229,692,2023-24,0–5 min,150,1.0000,1.0000,1.0000
1,1317,83.3259,0.0633,0.0284,0.0869,1.9032,0.1204,692,2023-24,5–10 min,450,1.0502,0.9325,0.9794
2,1290,87.6052,0.0679,0.0301,0.0963,1.8642,0.1266,692,2023-24,10–15 min,750,1.0287,1.0010,1.0297
3,1048,98.4319,0.0939,0.0500,0.1219,1.5145,0.1422,692,2023-24,15–20 min,1050,0.8357,1.3844,1.1570
