era,model,rmse,mae,prediction_coverage_pct,mean_prediction_interval_width
early,Constant,0.017019322527172167,0.011923755890374173,78.94736842105263,0.025321494308182174
early,Linear,0.014952336731905637,0.011078676667886792,68.42105263157895,0.025415497577120926
early,Exponential,0.014770887762547738,0.010999636573073089,68.42105263157895,0.02541762826459969
early,GP (Matérn 5/2),0.011173956903969499,0.009173763948018401,73.68421052631578,0.026269471080818313
recent,Constant,0.014404705439641894,0.010021200617814115,68.42105263157895,0.025579644037901462
recent,Linear,0.011730338834893248,0.009265118916770199,68.42105263157895,0.025945111485667444
recent,Exponential,0.011416685924671068,0.00912129286504677,68.42105263157895,0.02596082560814981
recent,GP (Matérn 5/2),0.007335170875464645,0.006526790653524147,89.47368421052632,0.02781387109319136
